Status,Adult Mortality,BMI,HIV/AIDS,Diphtheria,thinness  1-19 years,Polio,GDP,Alcohol,Income composition of resources,Schooling,Life expectancy
0,391.0,16.3,2.3,41.0,1.5,37.0,711.181716,2.82,0.401,5.5,46.5
0,44.0,15.8,2.1,38.0,1.7,41.0,526.168743,2.58,0.391,5.1,45.7
0,48.0,15.4,2.0,28.0,1.9,3.0,555.2969419,1.85,0.382,4.6,45.3
0,13.0,47.7,0.2,99.0,3.3,86.0,13566.9541,3.755,0.784,13.9,76.4
0,131.0,47.0,0.2,99.0,3.3,96.0,12888.29667,8.56,0.782,13.9,76.2
0,133.0,46.4,0.2,99.0,3.3,98.0,12224.86416,8.58,0.781,13.9,76.1
0,134.0,45.7,0.2,98.0,3.3,97.0,12565.44197,8.18,0.778,13.8,75.9
0,136.0,45.1,0.1,99.0,3.3,99.0,11929.34991,7.84,0.782,14.1,75.7
0,138.0,44.4,0.1,98.0,3.3,99.0,12126.87614,7.84,0.783,14.1,75.6
0,14.0,43.8,0.1,99.0,3.4,98.0,1312.46692,7.82,0.788,14.2,75.4
0,142.0,43.2,0.1,99.0,3.4,99.0,1473.31923,8.27,0.786,14.4,75.2
0,144.0,42.6,0.1,99.0,3.4,98.0,14252.29452,8.64,0.781,14.5,75.0
0,145.0,42.0,0.1,99.0,3.4,99.0,12724.39377,8.93,0.773,14.7,74.8
0,147.0,41.4,0.1,99.0,3.5,98.0,11371.93895,8.15,0.0,0.0,74.6
0,149.0,4.8,0.1,97.0,3.5,97.0,1352.8374,7.28,0.0,0.0,74.4
0,151.0,4.1,0.1,99.0,3.5,99.0,9739.82556,7.16,0.0,0.0,74.2
0,153.0,39.5,0.1,98.0,3.6,93.0,9386.716452,7.21,0.0,0.0,74.0
0,154.0,38.9,0.1,97.0,3.6,99.0,9358.154162,7.51,0.0,0.0,73.8
0,156.0,38.2,0.1,95.0,3.7,96.0,9875.161736,7.27,0.0,0.0,73.6
0,116.0,62.8,0.1,94.0,1.0,93.0,13467.1236,3.755,0.826,17.3,76.3
0,118.0,62.2,0.1,94.0,1.0,92.0,12245.25645,7.93,0.825,17.3,76.2
0,119.0,61.6,0.1,94.0,1.0,99.0,12976.63642,8.28,0.823,17.3,76.0
0,12.0,61.0,0.1,91.0,1.0,99.0,12969.7712,8.35,0.822,17.2,75.9
0,12.0,6.4,0.1,91.0,1.0,93.0,12726.9836,8.11,0.816,17.1,75.7
0,121.0,59.8,0.1,94.0,1.0,95.0,1276.265,8.15,0.802,16.8,75.5
0,126.0,59.2,0.1,94.0,1.0,97.0,8161.36966,8.33,0.794,16.5,75.6
0,126.0,58.6,0.1,93.0,1.0,94.0,8953.359275,8.41,0.792,16.3,75.4
0,129.0,58.0,0.1,91.0,1.1,92.0,7193.61764,8.16,0.788,16.3,74.8
0,127.0,57.5,0.1,91.0,1.1,92.0,5878.76127,7.75,0.782,16.1,75.2
0,127.0,56.9,0.1,98.0,1.1,95.0,576.883829,7.53,0.78,16.3,74.9
0,13.0,56.3,0.1,98.0,1.1,91.0,4251.574348,7.63,0.775,16.3,74.7
0,137.0,55.7,0.1,96.0,1.2,95.0,333.4376,7.62,0.77,16.4,74.1
0,138.0,55.1,0.1,93.0,1.2,94.0,2579.193168,7.81,0.776,16.3,74.1
0,138.0,54.6,0.1,83.0,1.2,85.0,717.694674,7.76,0.771,15.6,74.0
0,137.0,54.0,0.1,83.0,1.2,88.0,7669.273916,7.68,0.764,15.0,74.1
0,118.0,54.9,0.1,94.0,2.1,96.0,369.654776,3.755,0.741,12.7,74.8
0,12.0,54.1,0.1,93.0,2.1,95.0,3994.712355,3.91,0.739,12.7,74.6
0,123.0,53.3,0.1,95.0,2.1,96.0,3843.591213,3.79,0.736,12.7,74.4
0,121.0,52.6,0.1,95.0,2.0,96.0,3684.8481,3.89,0.732,12.7,74.4
0,128.0,51.9,0.1,95.0,2.0,96.0,3526.978143,4.09,0.729,12.7,73.9
0,132.0,51.2,0.1,94.0,2.0,96.0,3218.381655,4.23,0.72,12.3,73.5
0,137.0,5.7,0.1,93.0,2.0,94.0,2993.832531,3.96,0.725,11.9,73.3
0,14.0,5.1,0.1,89.0,2.0,91.0,41.26997,3.96,0.721,12.3,73.2
0,132.0,49.7,0.1,88.0,2.0,9.0,3138.8873,3.99,0.707,11.7,73.5
0,141.0,49.2,0.1,87.0,2.0,87.0,2158.299,4.01,0.692,11.2,72.9
0,137.0,48.8,0.1,9.0,2.0,92.0,1643.758397,4.25,0.679,10.9,73.0
0,132.0,48.4,0.1,91.0,2.0,93.0,1191.96192,3.81,0.668,10.9,73.0
0,134.0,48.1,0.1,94.0,2.0,96.0,93.1661567,3.03,0.657,10.8,72.7
0,134.0,47.8,0.1,94.0,2.1,96.0,783.261699,2.86,0.645,10.8,72.6
0,141.0,47.4,0.1,94.0,2.1,97.0,694.435119,2.86,0.644,11.1,72.6
0,142.0,47.1,0.1,93.0,2.1,96.0,622.7427477,2.9,0.639,11.2,72.0
1,59.0,66.6,0.1,93.0,0.6,93.0,56554.3876,3.755,0.937,20.4,82.8
1,6.0,66.1,0.1,92.0,0.6,92.0,62214.6912,9.71,0.936,20.4,82.7
1,61.0,65.5,0.1,91.0,0.6,91.0,67792.3386,9.87,0.933,20.3,82.5
1,61.0,65.0,0.1,92.0,0.6,92.0,67677.63477,10.03,0.93,20.1,82.3
1,63.0,64.4,0.1,92.0,0.6,92.0,62245.129,10.3,0.927,19.8,82.0
1,64.0,63.9,0.1,92.0,0.7,92.0,51874.848,10.52,0.927,19.5,81.9
1,66.0,63.4,0.1,92.0,0.7,92.0,42742.99898,10.62,0.925,19.1,81.7
1,66.0,62.9,0.1,92.0,0.7,92.0,49664.6854,10.76,0.921,19.1,81.3
1,66.0,62.5,0.1,92.0,0.7,92.0,4991.98289,10.56,0.918,19.0,81.3
1,66.0,62.0,0.1,92.0,0.7,92.0,36118.28381,10.31,0.915,20.3,81.2
1,67.0,61.5,0.1,92.0,0.7,92.0,3416.71483,10.3,0.91,20.3,81.0
1,69.0,6.9,0.1,92.0,0.7,92.0,3472.37977,9.84,0.908,20.7,86.0
1,71.0,6.3,0.1,93.0,0.7,92.0,23465.38559,9.97,0.905,20.6,83.0
1,73.0,59.6,0.1,92.0,0.7,92.0,281.81763,9.84,0.902,20.1,79.9
1,75.0,59.0,0.1,92.0,0.7,91.0,19517.84168,9.53,0.899,20.5,79.9
1,78.0,58.2,0.1,9.0,0.7,9.0,2169.921,10.17,0.897,20.4,79.5
1,65.0,57.6,0.1,93.0,1.9,93.0,43665.947,3.755,0.892,15.9,81.5
1,66.0,57.1,0.1,98.0,1.8,98.0,51322.63997,12.32,0.892,15.9,81.4
1,68.0,56.6,0.1,95.0,1.8,95.0,554.71532,11.82,0.887,15.7,81.1
1,7.0,56.1,0.1,92.0,1.8,92.0,48333.57273,12.26,0.884,15.7,88.0
1,73.0,55.7,0.1,89.0,1.7,89.0,51126.74139,12.04,0.88,15.7,88.0
1,75.0,55.2,0.1,86.0,1.7,86.0,46657.629,12.1,0.872,15.4,84.0
1,77.0,54.7,0.1,83.0,1.7,83.0,47654.18721,11.3,0.87,15.3,82.0
1,76.0,54.2,0.1,83.0,1.7,83.0,51386.37665,12.0,0.864,15.1,84.0
1,8.0,53.7,0.1,85.0,1.7,85.0,46586.6525,12.5,0.86,15.2,81.0
1,81.0,53.2,0.1,83.0,1.7,83.0,443.99361,12.4,0.854,15.0,79.8
1,85.0,52.7,0.1,86.0,1.7,86.0,38242.4252,12.4,0.848,14.9,79.4
1,86.0,52.2,0.1,83.0,1.7,83.0,36693.4262,12.1,0.841,14.7,79.3
1,88.0,51.7,0.1,84.0,1.7,84.0,3212.9355,12.2,0.837,14.7,78.8
1,9.0,51.2,0.1,83.0,1.7,82.0,26351.37568,12.5,0.847,16.1,78.7
1,92.0,5.6,0.1,84.0,1.7,83.0,24489.73553,12.4,0.837,15.5,78.6
1,96.0,5.1,0.1,81.0,1.7,71.0,24517.26745,13.2,0.833,15.4,78.1
0,118.0,52.5,0.1,96.0,2.8,98.0,55.31382,3.755,0.758,12.7,72.7
0,119.0,51.5,0.1,94.0,2.8,97.0,7891.299776,0.01,0.752,12.2,72.5
0,121.0,5.6,0.1,93.0,2.8,96.0,7875.756953,2.14,0.745,11.9,72.2
0,123.0,49.7,0.1,89.0,2.8,92.0,7496.335728,0.01,0.742,11.8,71.9
0,125.0,48.8,0.1,87.0,2.8,91.0,7189.691229,1.98,0.741,11.7,71.6
0,13.0,48.0,0.1,81.0,2.8,85.0,5842.85784,1.98,0.737,11.7,71.1
0,132.0,47.3,0.1,81.0,2.8,84.0,495.294791,2.1,0.728,11.6,78.0
0,141.0,46.6,0.1,81.0,2.8,85.0,5574.6382,1.18,0.719,11.6,73.0
0,14.0,45.9,0.1,79.0,2.8,81.0,3851.437869,1.02,0.708,11.6,73.0
0,154.0,45.3,0.1,78.0,2.9,8.0,2473.85776,0.85,0.682,10.7,69.2
0,162.0,44.7,0.1,75.0,2.9,79.0,1578.4239,0.73,0.675,11.2,68.4
0,154.0,44.2,0.1,77.0,3.0,78.0,145.2163,0.62,0.668,11.0,68.4
0,154.0,43.6,0.1,77.0,3.0,79.0,883.6439965,0.55,0.659,10.8,67.8
0,146.0,43.1,0.1,76.0,3.1,8.0,763.73858,0.55,0.651,10.6,67.8
0,151.0,42.6,0.1,77.0,3.1,77.0,73.6838434,0.51,0.642,10.4,67.5
0,16.0,42.1,0.1,76.0,3.2,75.0,655.974326,0.65,0.636,10.1,66.6
0,147.0,64.5,0.1,95.0,2.5,95.0,1766.947595,3.755,0.79,12.6,76.1
0,16.0,63.8,0.1,96.0,2.5,96.0,1766.947595,9.45,0.789,12.6,75.4
0,172.0,63.2,0.1,97.0,2.5,97.0,1766.947595,9.42,0.79,12.6,74.8
0,167.0,62.6,0.2,98.0,2.5,99.0,1766.947595,9.5,0.789,12.6,74.9
0,162.0,62.0,0.1,98.0,2.5,97.0,1766.947595,9.34,0.788,12.6,75.0
0,161.0,61.3,0.2,99.0,2.5,97.0,1766.947595,9.19,0.788,12.6,75.0
0,168.0,6.7,0.1,96.0,2.5,97.0,1766.947595,9.29,0.791,12.6,74.6
0,167.0,6.1,0.1,93.0,2.5,93.0,1766.947595,10.15,0.791,12.6,74.5
0,167.0,59.4,0.1,95.0,2.5,95.0,1766.947595,10.75,0.79,12.5,74.4
0,171.0,58.7,0.1,95.0,2.5,94.0,1766.947595,11.07,0.788,12.4,74.2
0,172.0,58.1,0.1,93.0,2.6,93.0,1766.947595,10.49,0.786,12.4,74.1
0,174.0,57.4,0.1,93.0,2.6,92.0,1766.947595,10.1,0.784,12.3,73.8
0,189.0,56.7,0.1,92.0,2.6,93.0,1766.947595,10.68,0.783,12.2,73.2
0,19.0,56.0,0.1,94.0,2.6,93.0,1766.947595,10.85,0.781,12.1,73.1
0,189.0,55.2,0.2,99.0,2.7,98.0,1766.947595,11.64,0.779,12.1,72.9
0,192.0,54.4,0.1,99.0,2.7,91.0,1766.947595,12.15,0.0,12.0,72.6
0,69.0,63.6,0.1,98.0,6.2,98.0,22688.87824,3.755,0.823,14.5,76.9
0,7.0,62.9,0.1,98.0,6.1,98.0,24983.3792,1.57,0.82,14.5,76.8
0,7.0,62.2,0.1,99.0,6.1,99.0,251.18329,1.65,0.815,14.5,76.7
0,71.0,61.5,0.1,99.0,6.1,99.0,23649.36661,1.7,0.812,14.5,76.5
0,76.0,6.8,0.1,99.0,6.1,99.0,2281.1242,1.66,0.812,14.4,76.1
0,73.0,6.1,0.1,99.0,6.0,99.0,2722.1389,1.93,0.81,14.4,76.1
0,74.0,59.3,0.1,98.0,6.0,97.0,19356.67236,1.95,0.814,14.4,76.0
0,76.0,58.5,0.1,97.0,6.0,97.0,2367.56535,2.0,0.815,14.4,75.8
0,77.0,57.6,0.1,97.0,6.1,97.0,2977.1153,2.0,0.813,14.4,75.6
0,79.0,56.8,0.1,98.0,6.1,98.0,1937.99549,2.1,0.81,14.2,75.5
0,81.0,56.1,0.1,98.0,6.1,98.0,17959.17854,2.05,0.806,14.0,75.3
0,83.0,55.6,0.1,98.0,6.1,98.0,15846.47641,2.16,0.803,13.9,75.2
0,85.0,55.2,0.1,97.0,6.1,97.0,14221.99259,2.16,0.798,13.7,75.0
0,87.0,55.0,0.1,98.0,6.2,98.0,1312.33457,1.99,0.796,13.5,74.9
0,9.0,54.8,0.1,99.0,6.2,99.0,12868.211,1.95,0.794,13.3,74.7
0,92.0,54.5,0.1,97.0,6.2,97.0,13636.34668,2.15,0.786,13.2,74.5
0,129.0,18.3,0.1,97.0,17.9,97.0,121.15812,3.755,0.575,10.2,71.8
0,132.0,17.7,0.1,97.0,18.1,97.0,184.56543,0.01,0.57,10.0,71.4
0,135.0,17.0,0.1,96.0,18.3,96.0,951.8894535,0.01,0.565,10.0,71.0
0,137.0,16.4,0.1,94.0,18.5,94.0,856.342857,0.01,0.557,9.9,77.0
0,14.0,15.8,0.1,96.0,18.7,96.0,835.789341,0.01,0.545,9.4,73.0
0,142.0,15.2,0.1,94.0,18.9,94.0,757.6717572,0.01,0.535,8.9,69.9
0,144.0,14.6,0.1,97.0,19.1,97.0,681.125368,0.01,0.523,8.4,69.5
0,147.0,14.0,0.1,96.0,19.3,96.0,615.7775411,0.01,0.52,8.6,69.1
0,151.0,13.5,0.1,94.0,19.5,96.0,541.651484,0.01,0.513,8.6,68.6
0,152.0,13.0,0.1,94.0,19.7,95.0,494.51466,0.01,0.506,8.4,68.2
0,155.0,12.5,0.1,93.0,19.9,94.0,484.155471,0.01,0.499,8.2,67.8
0,158.0,12.0,0.1,99.0,2.1,88.0,46.7579167,0.01,0.491,8.1,67.3
0,161.0,11.6,0.1,87.0,2.3,9.0,432.7388972,0.01,0.484,7.9,66.8
0,164.0,11.2,0.1,83.0,2.5,83.0,4.6135745,0.01,0.476,7.7,66.3
0,168.0,1.8,0.1,85.0,2.7,85.0,42.5981152,0.01,0.468,7.5,65.8
0,173.0,1.4,0.1,82.0,2.9,83.0,45.63371,0.01,0.459,7.3,65.3
0,98.0,54.5,0.1,97.0,3.8,97.0,15557.8381,3.755,0.794,15.3,75.5
0,1.0,53.7,0.1,94.0,3.8,95.0,15359.66971,8.82,0.793,15.3,75.4
0,11.0,53.0,0.1,91.0,3.8,91.0,15472.7814,8.74,0.792,15.3,75.2
0,12.0,52.2,0.1,87.0,3.8,88.0,15384.8749,8.61,0.785,15.3,75.1
0,14.0,51.4,0.1,91.0,3.8,91.0,15534.1574,8.51,0.78,15.5,74.9
0,16.0,5.7,0.1,86.0,3.8,9.0,1595.91232,8.41,0.781,15.8,74.7
0,19.0,49.9,0.1,93.0,3.8,93.0,16523.32388,8.46,0.779,15.5,74.6
0,111.0,49.2,0.1,85.0,3.9,85.0,1657.3228,8.95,0.775,15.3,74.4
0,113.0,48.4,0.1,93.0,3.9,93.0,16462.48556,8.47,0.771,15.0,74.2
0,115.0,47.7,0.1,84.0,4.0,85.0,15646.5591,8.39,0.766,14.8,74.1
0,117.0,46.9,0.1,92.0,4.0,91.0,14223.86576,8.01,0.761,14.6,73.9
0,119.0,46.2,0.2,93.0,4.1,93.0,12868.8639,7.68,0.757,14.4,73.8
0,121.0,45.4,0.4,89.0,4.1,9.0,1228.5447,7.65,0.753,14.2,73.7
0,123.0,44.6,0.8,87.0,4.2,86.0,11675.39395,7.59,0.749,14.0,73.5
0,125.0,43.8,0.7,84.0,4.2,93.0,11513.87189,7.38,0.75,14.0,73.4
0,127.0,43.0,0.9,93.0,4.3,86.0,11568.1111,7.43,0.741,14.0,73.3
0,196.0,62.3,0.1,99.0,1.9,99.0,5949.11677,3.755,0.798,15.6,72.3
0,199.0,61.7,0.1,97.0,1.9,97.0,8318.429294,13.94,0.796,15.7,72.0
0,23.0,61.1,0.1,98.0,2.0,98.0,7978.825443,14.66,0.796,15.7,71.7
0,194.0,6.5,0.1,98.0,2.0,98.0,694.243915,16.35,0.793,15.6,71.9
0,232.0,59.9,0.1,98.0,2.0,98.0,6519.71753,17.31,0.787,15.5,72.0
0,222.0,59.3,0.1,98.0,2.0,99.0,63.38877,14.44,0.78,15.5,73.0
0,226.0,58.7,0.1,96.0,2.1,98.0,5176.172649,14.09,0.771,15.4,70.0
0,224.0,58.2,0.1,97.0,2.1,98.0,6376.183153,14.67,0.755,15.1,70.0
0,226.0,57.7,0.1,95.0,2.2,9.0,4735.484827,14.22,0.739,14.9,69.8
0,243.0,57.2,0.1,99.0,2.2,97.0,3848.215966,12.6,0.723,14.6,68.9
0,252.0,56.7,0.1,99.0,2.3,98.0,3126.71767,11.01,0.713,14.4,68.1
0,247.0,56.2,0.1,99.0,2.4,99.0,2378.33927,12.05,0.703,14.1,68.2
0,253.0,55.8,0.1,5.0,2.5,53.0,1819.525644,11.17,0.695,13.9,67.7
0,262.0,55.3,0.1,99.0,2.5,99.0,1479.383142,12.23,0.687,13.6,67.2
0,254.0,54.9,0.1,99.0,2.6,99.0,1244.373185,10.74,0.681,13.3,67.7
0,247.0,54.4,0.1,99.0,2.7,99.0,1276.28834,12.98,0.675,13.1,68.0
1,74.0,63.7,0.1,99.0,1.0,99.0,4356.875,3.755,0.895,16.6,81.1
1,76.0,63.4,0.1,99.0,1.0,99.0,47439.39684,12.6,0.89,16.3,89.0
1,77.0,63.0,0.1,99.0,1.0,99.0,4651.38647,11.77,0.889,16.3,87.0
1,78.0,62.6,0.1,99.0,0.9,99.0,4474.5717,10.08,0.886,16.2,83.0
1,8.0,62.3,0.1,98.0,0.9,98.0,4772.77415,10.11,0.884,16.1,83.0
1,81.0,61.9,0.1,98.0,0.9,98.0,4438.23741,10.22,0.878,15.9,80.0
1,85.0,61.6,0.1,98.0,0.9,98.0,4488.5615,10.05,0.876,15.8,79.8
1,87.0,61.3,0.1,99.0,0.8,99.0,48424.58927,10.47,0.874,15.8,79.5
1,86.0,6.9,0.1,98.0,0.8,99.0,4443.83131,10.25,0.871,15.8,79.5
1,85.0,6.6,0.1,98.0,0.8,99.0,38852.3613,10.98,0.865,15.7,79.4
1,89.0,6.2,0.1,97.0,0.8,97.0,36967.28292,12.27,0.861,15.7,78.9
1,91.0,59.8,0.1,95.0,0.8,96.0,35589.71295,12.05,0.88,18.8,78.8
1,95.0,59.4,0.1,95.0,0.8,96.0,3743.95693,11.28,0.878,18.6,78.3
1,99.0,59.0,0.1,95.0,0.8,96.0,2552.3328,11.29,0.875,18.8,78.0
1,1.0,58.5,0.1,95.0,0.8,96.0,23121.56635,11.01,0.873,18.2,78.0
1,11.0,58.1,0.1,95.0,0.8,96.0,2327.4591,11.21,0.869,18.0,77.6
0,175.0,5.9,0.2,94.0,3.5,94.0,4849.997495,3.755,0.706,12.8,71.0
0,177.0,5.1,0.2,95.0,3.4,95.0,4852.223666,6.58,0.705,12.8,70.0
0,18.0,49.3,0.2,95.0,3.4,95.0,4688.538443,6.56,0.706,12.9,69.8
0,189.0,48.5,0.1,98.0,3.5,98.0,4673.63848,6.66,0.702,12.5,69.4
0,188.0,47.8,0.5,95.0,3.5,95.0,4516.24675,6.64,0.7,12.4,69.4
0,186.0,47.0,0.2,96.0,3.5,96.0,4344.15177,6.76,0.7,12.4,69.5
0,184.0,46.3,0.3,97.0,3.5,98.0,4258.788611,6.85,0.7,12.7,69.5
0,181.0,45.7,0.1,94.0,3.5,94.0,447.22796,7.22,0.699,12.8,69.6
0,181.0,45.0,0.6,96.0,3.5,97.0,4324.876427,7.24,0.7,12.8,69.6
0,184.0,44.4,0.6,98.0,3.6,98.0,4187.3783,6.48,0.692,12.3,69.4
0,191.0,43.8,0.8,96.0,3.6,96.0,3933.332215,6.25,0.695,12.8,69.0
0,197.0,43.2,0.8,97.0,3.6,97.0,3831.53819,6.2,0.691,12.5,68.7
0,21.0,42.6,1.5,96.0,3.6,95.0,3679.99523,5.67,0.684,12.2,68.4
0,199.0,42.0,0.1,89.0,3.7,93.0,3556.561825,4.99,0.678,11.9,68.5
0,21.0,41.4,0.4,96.0,3.7,96.0,3419.275719,4.9,0.677,11.8,68.2
0,196.0,4.8,0.3,91.0,3.8,91.0,3364.423711,4.79,0.668,11.7,68.3
0,249.0,25.7,1.0,82.0,6.9,78.0,783.94791,3.755,0.481,10.7,60.0
0,252.0,25.2,1.1,78.0,7.1,74.0,943.686575,0.01,0.475,10.7,59.7
0,251.0,24.6,1.2,77.0,7.2,73.0,915.2674586,0.01,0.466,10.3,59.5
0,251.0,24.1,1.3,8.0,7.4,8.0,837.9551,0.01,0.458,10.0,59.3
0,251.0,23.5,1.4,75.0,7.6,77.0,825.9427854,1.4,0.454,9.8,59.1
0,254.0,23.0,1.4,76.0,7.8,77.0,757.695974,1.33,0.451,9.5,58.7
0,259.0,22.5,1.6,79.0,7.9,8.0,793.45243,1.16,0.448,9.3,58.4
0,278.0,22.0,1.8,75.0,8.1,77.0,82.1513498,1.28,0.444,9.1,57.6
0,283.0,21.5,2.0,82.0,8.3,82.0,76.535419,1.12,0.438,8.9,57.1
0,284.0,21.0,2.0,74.0,8.5,76.0,625.8392,1.19,0.434,8.7,56.8
0,285.0,2.5,2.1,7.0,8.7,73.0,61.799977,1.13,0.43,8.5,56.5
0,285.0,2.1,2.1,72.0,8.9,74.0,583.493514,1.15,0.423,8.1,56.1
0,285.0,19.7,2.1,73.0,9.1,75.0,519.2922847,1.35,0.416,7.7,55.8
0,283.0,19.2,2.1,75.0,9.3,76.0,418.6985763,1.23,0.407,7.3,55.6
0,281.0,18.8,2.1,76.0,9.5,77.0,378.73654,1.29,0.395,6.6,55.5
0,279.0,18.4,2.0,78.0,9.7,78.0,374.1923942,1.34,0.389,6.4,55.4
0,211.0,24.5,0.5,99.0,15.4,98.0,2613.645177,3.755,0.604,12.5,69.8
0,216.0,23.6,0.5,99.0,15.7,98.0,2522.7968,0.01,0.596,12.5,69.4
